tag,layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.450000047683716,0,0,6,0,"[-0.008182572200894356, -0.3691152334213257, -0.13987207412719727, -0.09318046271800995, -0.3278541564941406, -0.09211920946836472, -0.04128330945968628, -0.2986186444759369]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.5,0,0,6,0,"[-0.0083306347951293, -0.37504374980926514, -0.14184299111366272, -0.09422287344932556, -0.3330809772014618, -0.09319211542606354, -0.041798681020736694, -0.3032725155353546]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.549999952316284,0,0,6,0,"[-0.008478697389364243, -0.3809722661972046, -0.14381390810012817, -0.09526528418064117, -0.33830782771110535, -0.09426501393318176, -0.04231404885649681, -0.30792635679244995]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.5999999046325684,0,0,6,0,"[-0.008626759983599186, -0.38690078258514404, -0.14578482508659363, -0.09630769491195679, -0.3435346782207489, -0.09533791244029999, -0.042829420417547226, -0.3125801980495453]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.6500000953674316,0,0,6,0,"[-0.008774823509156704, -0.3928293287754059, -0.14775577187538147, -0.0973501056432724, -0.34876152873039246, -0.0964108258485794, -0.04334479197859764, -0.317234069108963]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.700000047683716,0,0,6,0,"[-0.008922886103391647, -0.39875784516334534, -0.14972668886184692, -0.09839251637458801, -0.353988379240036, -0.09748372435569763, -0.043860163539648056, -0.32188794016838074]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.75,0,0,6,0,"[-0.00907094869762659, -0.4046863317489624, -0.15169760584831238, -0.09943491965532303, -0.3592151999473572, -0.09855662286281586, -0.04437553510069847, -0.3265417814254761]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.799999952316284,0,0,6,0,"[-0.009219011291861534, -0.41061484813690186, -0.15366852283477783, -0.10047733038663864, -0.36444205045700073, -0.09962952882051468, -0.044890906661748886, -0.3311956226825714]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.8499999046325684,0,0,6,0,"[-0.009367073886096478, -0.4165433645248413, -0.1556394398212433, -0.10151974111795425, -0.3696689009666443, -0.1007024273276329, -0.045406274497509, -0.33584949374198914]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.9000000953674316,0,0,6,0,"[-0.009515137411653996, -0.42247191071510315, -0.15761037170886993, -0.10256215184926987, -0.37489575147628784, -0.10177533328533173, -0.045921649783849716, -0.34050336480140686]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.950000047683716,0,0,6,0,"[-0.009663200005888939, -0.4284003973007202, -0.15958130359649658, -0.10360456258058548, -0.3801226019859314, -0.10284823924303055, -0.04643702134490013, -0.3451572060585022]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.0,0,0,6,0,"[-0.009811263531446457, -0.43432891368865967, -0.16155222058296204, -0.10464697331190109, -0.38534942269325256, -0.10392113775014877, -0.04695238918066025, -0.3498110771179199]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.049999952316284,0,0,6,0,"[-0.0099593261256814, -0.4402574300765991, -0.1635231375694275, -0.1056893840432167, -0.3905762732028961, -0.1049940437078476, -0.04746776074171066, -0.35446491837501526]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.0999999046325684,0,0,6,0,"[-0.010107388719916344, -0.4461859464645386, -0.16549405455589294, -0.10673178732395172, -0.3958031237125397, -0.10606694221496582, -0.04798313230276108, -0.3591187596321106]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.1500000953674316,0,0,6,0,"[-0.010255452245473862, -0.4521144926548004, -0.1674649864435196, -0.10777420550584793, -0.4010299742221832, -0.10713984817266464, -0.04849850386381149, -0.3637726306915283]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.200000047683716,0,0,6,0,"[-0.010403514839708805, -0.4580429792404175, -0.16943590342998505, -0.10881661623716354, -0.4062568247318268, -0.10821275413036346, -0.04901387542486191, -0.36842650175094604]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.25,0,0,6,0,"[-0.010551577433943748, -0.46397149562835693, -0.1714068204164505, -0.10985901951789856, -0.41148364543914795, -0.10928565263748169, -0.04952924698591232, -0.3730803430080414]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.299999952316284,0,0,6,0,"[-0.010699640028178692, -0.4699000120162964, -0.17337775230407715, -0.11090143024921417, -0.4167104959487915, -0.11035855114459991, -0.05004461482167244, -0.3777341842651367]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.3499999046325684,0,0,6,0,"[-0.010847702622413635, -0.47582852840423584, -0.1753486692905426, -0.11194384098052979, -0.42193731665611267, -0.11143145710229874, -0.050559986382722855, -0.38238805532455444]"
