layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
2,w1,4,7,0,0.9918171167373657
2,w1,5,6,0,0.9918357133865356
2,w1,5,7,0,0.003207683563232422
2,w1,6,7,1,0.991812527179718
2,w2,0,1,1,1.0001568794250488
2,w2,0,2,0,-0.00016164779663085938
2,w2,0,3,0,1.000167965888977
2,w2,0,4,0,-1.6689300537109375e-05
2,w2,0,5,0,1.0001276731491089
2,w2,0,6,0,0.0008398294448852539
2,w2,0,7,0,1.0001697540283203
2,w2,1,2,0,1.000159740447998
2,w2,1,3,0,0.0009229183197021484
2,w2,1,4,0,1.0001552104949951
2,w2,1,5,0,0.0008999109268188477
2,w2,1,6,0,1.0001484155654907
2,w2,1,7,0,-6.854534149169922e-05
2,w2,2,3,1,1.0001708269119263
2,w2,2,4,0,6.735324859619141e-06
2,w2,2,5,0,1.0001310110092163
2,w2,2,6,0,0.0008600354194641113
2,w2,2,7,0,1.0001726150512695
2,w2,3,4,0,1.000166654586792
2,w2,3,5,0,0.0007375478744506836
2,w2,3,6,0,1.0001615285873413
2,w2,3,7,0,0.0008637905120849609
2,w2,4,5,1,1.0001262426376343
2,w2,4,6,0,0.0009940266609191895
2,w2,4,7,0,1.0001680850982666
2,w2,5,6,0,1.0001200437545776
2,w2,5,7,0,0.0008614659309387207
2,w2,6,7,1,1.0001612901687622
2,w3,0,1,1,0.9996511340141296
2,w3,0,2,0,0.00012087821960449219
2,w3,0,3,0,0.9996790885925293
2,w3,0,4,0,0.0006760358810424805
2,w3,0,5,0,0.9997382164001465
2,w3,0,6,0,0.003962397575378418
2,w3,0,7,0,0.9996007084846497
2,w3,1,2,0,0.9996391534805298
2,w3,1,3,0,0.004271328449249268
2,w3,1,4,0,0.9996721148490906
2,w3,1,5,0,0.004263877868652344
2,w3,1,6,0,0.999699592590332
2,w3,1,7,0,0.00045484304428100586
2,w3,2,3,1,0.999669075012207
2,w3,2,4,0,0.0007456541061401367
2,w3,2,5,0,0.9997276067733765
2,w3,2,6,0,0.004023194313049316
2,w3,2,7,0,0.999590277671814
2,w3,3,4,0,0.9996981620788574
2,w3,3,5,0,0.0035736560821533203
2,w3,3,6,0,0.999718189239502
2,w3,3,7,0,0.004041790962219238
2,w3,4,5,1,0.9997577667236328
2,w3,4,6,0,0.004555225372314453
2,w3,4,7,0,0.9996246695518494
2,w3,5,6,0,0.9997750520706177
2,w3,5,7,0,0.004107832908630371
2,w3,6,7,1,0.9996433854103088
3,w1,0,1,1,0.9915681481361389
3,w1,0,2,0,0.003885507583618164
3,w1,0,3,0,0.9916718006134033
3,w1,0,4,0,0.003876209259033203
3,w1,0,5,0,0.9916626811027527
3,w1,0,6,0,0.0038490891456604004
3,w1,0,7,0,0.9916825890541077
3,w1,1,2,0,0.9915473461151123
3,w1,1,3,0,0.0048615336418151855
3,w1,1,4,0,0.9915932416915894
3,w1,1,5,0,0.005567073822021484
3,w1,1,6,0,0.9916252493858337
3,w1,1,7,0,0.0057277679443359375
3,w1,2,3,1,0.9916538596153259
3,w1,2,4,0,0.004915058612823486
3,w1,2,5,0,0.9916399717330933
3,w1,2,6,0,0.004566311836242676
3,w1,2,7,0,0.9916492700576782
3,w1,3,4,0,0.9916994571685791
3,w1,3,5,0,0.005598902702331543
3,w1,3,6,0,0.9917265176773071
3,w1,3,7,0,0.005516231060028076
3,w1,4,5,1,0.9916751980781555
3,w1,4,6,0,0.00461268424987793
3,w1,4,7,0,0.9916980266571045
3,w1,5,6,0,0.9917086958885193
3,w1,5,7,0,0.005952358245849609
3,w1,6,7,1,0.991725504398346
3,w2,0,1,1,0.9997648000717163
3,w2,0,2,0,0.0011932849884033203
3,w2,0,3,0,0.9997565746307373
3,w2,0,4,0,0.0011882781982421875
3,w2,0,5,0,0.9997755289077759
3,w2,0,6,0,0.0011848807334899902
3,w2,0,7,0,0.9997578859329224
3,w2,1,2,0,0.9997124671936035
3,w2,1,3,0,0.0015120506286621094
3,w2,1,4,0,0.9997331500053406
3,w2,1,5,0,0.0017639994621276855
3,w2,1,6,0,0.9997364282608032
3,w2,1,7,0,0.0018230676651000977
3,w2,2,3,1,0.9997045397758484
3,w2,2,4,0,0.0015544891357421875
3,w2,2,5,0,0.9997243285179138
3,w2,2,6,0,0.0014297962188720703
3,w2,2,7,0,0.9997032880783081
3,w2,3,4,0,0.9997246861457825
3,w2,3,5,0,0.0017675161361694336
