layer,entropy,length,top1,top2_a,top2_b,top2_same_pair,logits_json
0,0.15000000596046448,8.0,1,1,4,0,"[-0.025719359517097473, 0.23721843957901, -0.26007410883903503, -0.11572747677564621, 0.1768752783536911, -0.12651406228542328, -0.18022392690181732, 0.1268223524093628]"
0,0.15000000596046448,9.0,1,1,4,0,"[-0.029828904196619987, 0.30024784803390503, -0.2754792869091034, -0.12421602755784988, 0.22980086505413055, -0.13748276233673096, -0.20310398936271667, 0.17289790511131287]"
0,0.15000000596046448,10.0,1,1,4,0,"[-0.0339384451508522, 0.36327725648880005, -0.29088443517684937, -0.13270460069179535, 0.2827264070510864, -0.14845147728919983, -0.22598406672477722, 0.21897345781326294]"
0,0.15000000596046448,11.0,1,1,4,0,"[-0.03804798796772957, 0.4263066053390503, -0.3062896132469177, -0.14119316637516022, 0.3356519937515259, -0.1594201773405075, -0.24886415898799896, 0.2650489807128906]"
0,0.15000000596046448,12.0,1,1,4,0,"[-0.042157530784606934, 0.4893360137939453, -0.3216947913169861, -0.1496817171573639, 0.38857758045196533, -0.17038887739181519, -0.2717441916465759, 0.3111245036125183]"
0,0.15000000596046448,13.0,1,1,4,0,"[-0.046267069876194, 0.5523654222488403, -0.33709993958473206, -0.15817028284072876, 0.4415031671524048, -0.18135759234428406, -0.2946242690086365, 0.35720008611679077]"
0,0.15000000596046448,14.0,1,1,4,0,"[-0.050376612693071365, 0.6153947710990906, -0.3525051176548004, -0.16665884852409363, 0.49442869424819946, -0.19232629239559174, -0.317504346370697, 0.40327560901641846]"
0,0.15000000596046448,15.0,1,1,4,0,"[-0.05448615178465843, 0.6784241795539856, -0.3679102957248688, -0.1751473993062973, 0.5473542809486389, -0.2032950073480606, -0.3403843939304352, 0.4493511915206909]"
0,0.15000000596046448,16.0,1,1,4,0,"[-0.0585956946015358, 0.7414535880088806, -0.38331547379493713, -0.18363596498966217, 0.6002798676490784, -0.2142637073993683, -0.3632644712924957, 0.4954267144203186]"
0,0.20000000298023224,1.0,0,0,6,0,"[0.0028419524896889925, -0.20083586871623993, -0.15300819277763367, -0.05673197656869888, -0.19095748662948608, -0.050281547009944916, -0.021207451820373535, -0.19340269267559052]"
0,0.20000000298023224,2.0,0,0,6,0,"[-0.0012675891630351543, -0.1378064751625061, -0.16841337084770203, -0.06522053480148315, -0.13803189992904663, -0.06125025451183319, -0.04408751800656319, -0.14732715487480164]"
0,0.20000000298023224,3.0,0,0,6,0,"[-0.005377131048589945, -0.07477708160877228, -0.18381854891777039, -0.07370909303426743, -0.08510632812976837, -0.07221896201372147, -0.06696759164333344, -0.10125160962343216]"
0,0.20000000298023224,4.0,0,0,1,1,"[-0.009486671537160873, -0.011747688055038452, -0.19922369718551636, -0.0821976587176323, -0.03218075633049011, -0.08318766951560974, -0.08984765410423279, -0.055176056921482086]"
0,0.20000000298023224,5.0,1,1,4,0,"[-0.01359621249139309, 0.05128172039985657, -0.21462887525558472, -0.09068621695041656, 0.020744815468788147, -0.09415637701749802, -0.11272773146629333, -0.009100504219532013]"
0,0.20000000298023224,6.0,1,1,4,0,"[-0.017705755308270454, 0.1143110990524292, -0.23003405332565308, -0.09917477518320084, 0.0736704021692276, -0.10512508451938629, -0.1356077939271927, 0.03697502613067627]"
0,0.20000000298023224,7.0,1,1,4,0,"[-0.02181529626250267, 0.17734047770500183, -0.24543920159339905, -0.1076633408665657, 0.12659595906734467, -0.11609379202127457, -0.15848787128925323, 0.08305057883262634]"
0,0.20000000298023224,8.0,1,1,4,0,"[-0.025924837216734886, 0.24036988615989685, -0.2608443796634674, -0.11615189909934998, 0.17952154576778412, -0.12706249952316284, -0.1813679337501526, 0.12912613153457642]"
0,0.20000000298023224,9.0,1,1,4,0,"[-0.03003438003361225, 0.30339929461479187, -0.2762495279312134, -0.12464045733213425, 0.23244713246822357, -0.13803119957447052, -0.20424799621105194, 0.1752016842365265]"
0,0.20000000298023224,10.0,1,1,4,0,"[-0.03414392098784447, 0.3664287328720093, -0.29165470600128174, -0.1331290304660797, 0.28537267446517944, -0.1489998996257782, -0.2271280735731125, 0.22127723693847656]"
0,0.20000000298023224,11.0,1,1,4,0,"[-0.03825346380472183, 0.42945802211761475, -0.3070598840713501, -0.1416175812482834, 0.3382982611656189, -0.15996861457824707, -0.25000813603401184, 0.26735275983810425]"
0,0.20000000298023224,12.0,1,1,4,0,"[-0.0423630066215992, 0.49248743057250977, -0.32246503233909607, -0.15010614693164825, 0.39122384786605835, -0.17093731462955475, -0.27288818359375, 0.31342828273773193]"
0,0.20000000298023224,13.0,1,1,4,0,"[-0.046472545713186264, 0.5555168390274048, -0.33787021040916443, -0.15859471261501312, 0.4441494345664978, -0.18190602958202362, -0.29576826095581055, 0.3595038652420044]"
0,0.20000000298023224,14.0,1,1,4,0,"[-0.05058208853006363, 0.6185462474822998, -0.3532753884792328, -0.167083278298378, 0.4970749616622925, -0.1928747296333313, -0.3186483383178711, 0.4055793881416321]"
