layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
3,w2,3,6,0,0.9997269511222839
3,w2,3,7,0,0.0017508268356323242
3,w2,4,5,1,0.9997389316558838
3,w2,4,6,0,0.0014492273330688477
3,w2,4,7,0,0.9997194409370422
3,w2,5,6,0,0.9997444152832031
3,w2,5,7,0,0.0019021034240722656
3,w2,6,7,1,0.9997242093086243
3,w3,0,1,1,0.9992963671684265
3,w3,0,2,0,0.005389094352722168
3,w3,0,3,0,0.9992658495903015
3,w3,0,4,0,0.005402565002441406
3,w3,0,5,0,0.9992544054985046
3,w3,0,6,0,0.005341529846191406
3,w3,0,7,0,0.9991806149482727
3,w3,1,2,0,0.99919593334198
3,w3,1,3,0,0.0065392255783081055
3,w3,1,4,0,0.9992757439613342
3,w3,1,5,0,0.007530689239501953
3,w3,1,6,0,0.9992336630821228
3,w3,1,7,0,0.007748961448669434
3,w3,2,3,1,0.9991861581802368
3,w3,2,4,0,0.006689667701721191
