layer,base_key,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6200000047683716,2,2,6,0,"[-0.0203253086656332, -0.03554997965693474, 0.010734492912888527, -0.02659882977604866, -0.020209411159157753, -0.02290363237261772, 0.006523650139570236, -0.03309120982885361]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6299999952316284,2,2,6,0,"[-0.020443106070160866, -0.035611193627119064, 0.011170044541358948, -0.026692360639572144, -0.02036554366350174, -0.02301087975502014, 0.0062055084854364395, -0.03316093608736992]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6399999856948853,2,2,6,0,"[-0.02056090347468853, -0.03567241132259369, 0.011605598032474518, -0.026785891503095627, -0.020521678030490875, -0.023118125274777412, 0.005887364968657494, -0.03323066234588623]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6499999761581421,2,2,6,0,"[-0.020678699016571045, -0.035733625292778015, 0.012041149660944939, -0.02687942236661911, -0.02067781239748001, -0.023225370794534683, 0.005569223314523697, -0.033300384879112244]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6599999666213989,2,2,6,0,"[-0.02079649642109871, -0.03579483926296234, 0.012476703152060509, -0.026972953230142593, -0.020833944901823997, -0.023332616314291954, 0.0052510816603899, -0.033370111137628555]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6699999570846558,2,2,6,0,"[-0.020914293825626373, -0.035856056958436966, 0.01291225478053093, -0.027066484093666077, -0.020990077406167984, -0.023439861834049225, 0.004932938143610954, -0.03343983739614487]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6800000071525574,2,2,6,0,"[-0.021032091230154037, -0.03591727465391159, 0.013347810134291649, -0.02716001495718956, -0.02114621177315712, -0.023547107353806496, 0.004614794626832008, -0.03350955992937088]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6899999976158142,2,2,6,0,"[-0.0211498886346817, -0.03597848862409592, 0.01378336176276207, -0.027253545820713043, -0.021302346140146255, -0.023654352873563766, 0.0042966511100530624, -0.03357928618788719]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.699999988079071,2,2,6,0,"[-0.021267686039209366, -0.03603970259428024, 0.01421891525387764, -0.027347076684236526, -0.02145848050713539, -0.023761598393321037, 0.003978509455919266, -0.0336490124464035]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7099999785423279,2,2,6,0,"[-0.02138548344373703, -0.03610092028975487, 0.01465446688234806, -0.02744060754776001, -0.021614613011479378, -0.023868843913078308, 0.003660367801785469, -0.03371873497962952]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7199999690055847,2,2,6,0,"[-0.021503280848264694, -0.036162134259939194, 0.015090018510818481, -0.027534138411283493, -0.021770745515823364, -0.02397608943283558, 0.003342224285006523, -0.03378846123814583]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7299999594688416,2,2,6,0,"[-0.02162107825279236, -0.03622335195541382, 0.015525572001934052, -0.027627667412161827, -0.0219268798828125, -0.02408333495259285, 0.0030240826308727264, -0.03385818749666214]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7400000095367432,2,2,6,0,"[-0.021738875657320023, -0.036284565925598145, 0.01596112921833992, -0.02772120013833046, -0.022083014249801636, -0.02419058233499527, 0.0027059372514486313, -0.03392791002988815]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.75,2,2,6,0,"[-0.021856673061847687, -0.03634577989578247, 0.01639667898416519, -0.027814731001853943, -0.02223914861679077, -0.02429782785475254, 0.0023877955973148346, -0.033997636288404465]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7599999904632568,2,2,6,0,"[-0.02197447046637535, -0.036406997591257095, 0.01683223247528076, -0.027908261865377426, -0.022395282983779907, -0.02440507337450981, 0.002069653943181038, -0.034067362546920776]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7699999809265137,2,2,6,0,"[-0.022092266008257866, -0.03646821156144142, 0.017267785966396332, -0.02800179086625576, -0.022551415488123894, -0.024512318894267082, 0.001751510426402092, -0.03413708508014679]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7799999713897705,2,2,6,0,"[-0.02221006341278553, -0.036529429256916046, 0.017703335732221603, -0.028095321729779243, -0.02270754799246788, -0.024619564414024353, 0.0014333687722682953, -0.0342068113386631]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7899999618530273,2,2,6,0,"[-0.022327860817313194, -0.03659064322710037, 0.018138889223337173, -0.028188852593302727, -0.022863682359457016, -0.024726809933781624, 0.0011152252554893494, -0.034276533871889114]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.7999999523162842,2,2,6,0,"[-0.02244565635919571, -0.036651860922575, 0.018574442714452744, -0.02828238345682621, -0.02301981672644615, -0.024834055453538895, 0.0007970836013555527, -0.034346260130405426]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.8100000023841858,2,2,6,0,"[-0.022563455626368523, -0.03671307489275932, 0.019009996205568314, -0.028375916182994843, -0.023175951093435287, -0.024941302835941315, 0.00047894008457660675, -0.03441598638892174]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.8199999928474426,2,2,6,0,"[-0.022681251168251038, -0.03677429258823395, 0.019445549696683884, -0.028469445183873177, -0.023332083597779274, -0.025048546493053436, 0.00016079656779766083, -0.03448570892214775]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.8299999833106995,2,2,6,0,"[-0.022799048572778702, -0.036835506558418274, 0.019881103187799454, -0.02856297604739666, -0.02348821610212326, -0.025155793875455856, -0.00015734508633613586, -0.03455543518066406]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.8399999737739563,2,2,6,0,"[-0.022916845977306366, -0.0368967205286026, 0.020316652953624725, -0.028656506910920143, -0.023644350469112396, -0.025263037532567978, -0.0004754886031150818, -0.034625161439180374]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.8499999642372131,2,2,6,0,"[-0.02303464338183403, -0.036957938224077225, 0.020752206444740295, -0.028750037774443626, -0.023800484836101532, -0.025370284914970398, -0.0007936302572488785, -0.03469488397240639]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.85999995470047,2,2,6,0,"[-0.023152440786361694, -0.03701915219426155, 0.021187759935855865, -0.02884356863796711, -0.023956619203090668, -0.02547752857208252, -0.0011117719113826752, -0.0347646102309227]"
