layer,base_key,expert,entropy_slope,bias,slope_rank_low_to_high
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,7,-0.007933534681797028,-0.014146680943667889,5
19,model.global_transformer.layers.19.feed_forward.patch_length_router,0,0.030063021928071976,-0.028567306697368622,7
19,model.global_transformer.layers.19.feed_forward.patch_length_router,1,-0.015452620573341846,0.02232835441827774,1
19,model.global_transformer.layers.19.feed_forward.patch_length_router,2,-0.00847157184034586,-0.012205131351947784,2
19,model.global_transformer.layers.19.feed_forward.patch_length_router,3,-0.018761787563562393,0.033084847033023834,0
19,model.global_transformer.layers.19.feed_forward.patch_length_router,4,-0.004979405552148819,-0.026121433824300766,6
19,model.global_transformer.layers.19.feed_forward.patch_length_router,5,-0.008267143741250038,-0.012916641309857368,3
19,model.global_transformer.layers.19.feed_forward.patch_length_router,6,-0.008206277154386044,-0.013151991181075573,4
19,model.global_transformer.layers.19.feed_forward.patch_length_router,7,-0.007933534681797028,-0.014146680943667889,5
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,0,-0.013196459971368313,-0.009695042856037617,0
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,1,-0.006474618799984455,-0.0025127336848527193,2
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,2,-0.009390225633978844,-0.006353397388011217,1
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,3,0.0006516145076602697,-0.002421388868242502,6
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,4,-0.004341471008956432,-0.004419824108481407,4
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,5,0.012827436439692974,0.01590505614876747,7
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,6,0.0003135833248961717,0.02227877452969551,5
2,model.global_transformer.layers.2.feed_forward.patch_feature_router,7,-0.005766522604972124,-0.0065055605955421925,3
2,model.global_transformer.layers.2.feed_forward.patch_length_router,0,-0.013196459971368313,-0.009695042856037617,0
