layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
7,w2,0,7,0,1.000141978263855
7,w2,1,2,0,1.0001399517059326
7,w2,1,3,0,0.00016176700592041016
7,w2,1,4,0,1.000150442123413
7,w2,1,5,0,-3.337860107421875e-06
7,w2,1,6,0,1.0001403093338013
7,w2,1,7,0,0.0002689361572265625
7,w2,2,3,1,1.0001460313796997
7,w2,2,4,0,0.0002644062042236328
7,w2,2,5,0,1.000147819519043
7,w2,2,6,0,0.00047266483306884766
7,w2,2,7,0,1.0001434087753296
7,w2,3,4,0,1.0001564025878906
7,w2,3,5,0,0.00022542476654052734
7,w2,3,6,0,1.0001466274261475
7,w2,3,7,0,0.0002288818359375
7,w2,4,5,1,1.0001575946807861
7,w2,4,6,0,0.0004844069480895996
7,w2,4,7,0,1.00015389919281
7,w2,5,6,0,1.000147819519043
7,w2,5,7,0,0.00033539533615112305
7,w2,6,7,1,1.0001435279846191
7,w3,0,1,1,1.000580072402954
7,w3,0,2,0,0.0012063980102539062
7,w3,0,3,0,1.0005910396575928
7,w3,0,4,0,0.0008947849273681641
7,w3,0,5,0,1.0005977153778076
7,w3,0,6,0,0.0019960403442382812
7,w3,0,7,0,1.0006287097930908
7,w3,1,2,0,1.000625729560852
7,w3,1,3,0,0.0012660026550292969
7,w3,1,4,0,1.000577688217163
7,w3,1,5,0,0.0006135106086730957
7,w3,1,6,0,1.0005834102630615
7,w3,1,7,0,0.0016570091247558594
7,w3,2,3,1,1.000637412071228
7,w3,2,4,0,0.0016711950302124023
7,w3,2,5,0,1.0006461143493652
7,w3,2,6,0,0.0024370551109313965
7,w3,2,7,0,1.000674843788147
7,w3,3,4,0,1.000589370727539
7,w3,3,5,0,0.0014961957931518555
7,w3,3,6,0,1.000590443611145
7,w3,3,7,0,0.0015201568603515625
7,w3,4,5,1,1.0005971193313599
7,w3,4,6,0,0.0025009512901306152
7,w3,4,7,0,1.0006272792816162
7,w3,5,6,0,1.0005981922149658
7,w3,5,7,0,0.0018957853317260742
7,w3,6,7,1,1.0006309747695923
