layer,param,num_experts,experts,mean_pair_cos,min_pair_cos,max_pair_cos,mean_pair_rel_l2,min_pair_rel_l2,max_pair_rel_l2,mean_paired_cos_01_23_45_67,mean_paired_rel_l2_01_23_45_67,mean_weight_norm
16,w3.weight,8,"0,1,2,3,4,5,6,7",0.42858783952916774,0.0005177987040951848,1.0002878904342651,0.8235649741637927,0.00601597490673125,1.4138515267949192,0.0005432528705568984,1.4138314422123581,58.6279501914978
17,w1.weight,8,"0,1,2,3,4,5,6,7",0.43353160058281254,0.00924091599881649,1.000321388244629,0.8194691034159038,0.0,1.4076824896368703,0.009355240035802126,1.4075956928133322,61.03797006607056
17,w2.weight,8,"0,1,2,3,4,5,6,7",0.4284427396918805,-0.0002635889104567468,1.0003222227096558,0.8156039936850817,0.0,1.414407667543213,-0.00024649767874507234,1.4143903024647673,115.95651245117188
17,w3.weight,8,"0,1,2,3,4,5,6,7",0.4283269392175758,0.0001798572629923001,1.0003174543380737,0.8228696501986962,0.0,1.4140971596120124,0.00021265827672323212,1.414066457507563,59.3522253036499
18,w1.weight,8,"0,1,2,3,4,5,6,7",0.4331376312433609,0.008475822396576405,1.000022292137146,0.8290716928399163,0.02309025446767276,1.4082340243885767,0.009105791803449392,1.4077889193238067,61.37676954269409
18,w2.weight,8,"0,1,2,3,4,5,6,7",0.4285920857614006,0.00011833636381197721,1.0002249479293823,0.8202971087332129,0.012296226037719285,1.4141312089002387,0.00013686903912457637,1.4141153000382936,116.2961015701294
18,w3.weight,8,"0,1,2,3,4,5,6,7",0.42803250077797983,8.292520215036348e-05,1.0000061988830566,0.8323644160929922,0.024171061933619033,1.414154991665687,0.00012062351925123949,1.4141281966078876,59.38583326339722
19,w1.weight,8,"0,1,2,3,4,5,6,7",0.43352841013776405,0.009254071861505508,0.9999510049819946,0.830926655331775,0.025755741098170488,1.4076649868053297,0.010032223537564278,1.4071084216179102,61.74725580215454
19,w2.weight,8,"0,1,2,3,4,5,6,7",0.42873050102727056,0.00039564521284773946,1.0002062320709229,0.8210799084789837,0.013672570019819018,1.4139352139878754,0.0004204817450954579,1.4139138275448158,116.9187479019165
19,w3.weight,8,"0,1,2,3,4,5,6,7",0.4274392324982078,-0.0007231197669170797,0.9999275207519531,0.8349563654978248,0.027150069392867127,1.4147252386337608,-0.0006949279922991991,1.4147069245026656,59.573750495910645
